timestamp,voltage,frequency,hashrate,temperature,power,efficiency
2025-09-10T23:31:38.998580,1150,750,1582.0598641803967,67.125,23.781129837036133,66.52584948745944
2025-09-10T23:32:39.070277,1150,750,1318.463986359975,67.125,23.74542236328125,55.52497513789364
2025-09-10T23:33:39.112176,1150,750,1724.300819474824,67.125,23.74542236328125,72.61613599011815
2025-09-10T23:34:39.164131,1150,750,1521.2332717934532,67.25,23.74542236328125,64.06427514828346
2025-09-10T23:35:39.212431,1150,750,1804.3065095612158,66.75,23.74542236328125,75.98544603490845
2025-09-10T23:36:39.266007,1150,750,1661.5188202578524,66.875,23.74169921875,69.98314673895239
2025-09-10T23:37:39.313205,1150,750,1610.272904730105,66.875,23.777463912963867,67.72265160928949
2025-09-10T23:38:39.351222,1150,750,1456.2220016166814,67,23.781129837036133,61.23434889745221
2025-09-10T23:39:39.384817,1150,750,1341.8346590956921,67.125,23.74542236328125,56.50919316434813
2025-09-10T23:40:39.438121,1150,750,1456.12801165434,67,23.781129837036133,61.230396605740864
2025-09-10T23:41:39.481952,1150,750,1575.5565069441232,66.875,23.74542236328125,66.35201020389033
2025-09-10T23:42:39.516867,1150,750,1494.8310352012238,67,23.777463912963867,62.86755562632637
2025-09-10T23:43:39.558529,1150,750,1644.5039538452365,67,23.74542236328125,69.25562024907235
2025-09-10T23:44:39.597210,1150,750,1723.0651326988852,67,23.781129837036133,72.45514172398265
2025-09-10T23:45:39.643811,1150,750,1346.0514932669246,66.875,23.74169921875,56.695667856994866
2025-09-10T23:46:39.684873,1150,750,1471.0337859130148,67.125,23.74542236328125,61.95020511354428
2025-09-10T23:47:39.729397,1150,750,1874.6676708345713,67,23.74542236328125,78.94859237094325
2025-09-10T23:48:39.771611,1150,750,1564.2380809518463,66.875,23.709716796875,65.97455778797058
2025-09-10T23:49:39.842621,1150,750,1360.7963502040584,67,23.777463912963867,57.23050848421769
2025-09-10T23:50:39.901716,1150,750,1455.0747747505807,67,23.74542236328125,61.27811720884092
2025-09-10T23:51:39.941515,1150,750,1644.9125985490832,67,23.777463912963867,69.1794803924505
2025-09-10T23:52:39.987600,1150,750,1176.1949829059063,65,23.263397216796875,50.55989767722566
2025-09-10T23:53:40.021898,1150,750,1727.671929927027,66.5,23.56689453125,73.30927405968198
2025-09-10T23:54:40.081308,1150,750,1808.5061184811286,66.75,23.67401123046875,76.39204446070205
2025-09-10T23:55:40.117377,1150,750,1941.5687791552507,67,23.709716796875,81.88915944416317
2025-09-10T23:56:40.155697,1150,750,1678.82679374535,67,23.777463912963867,70.6057971485355
2025-09-10T23:57:40.204181,1150,750,1528.8478402760943,67.125,23.777463912963867,64.29818780810098
2025-09-10T23:58:40.242293,1150,750,1568.3154586375651,67.125,23.781129837036133,65.94789521711917
2025-09-10T23:59:40.287266,1150,750,1508.73207592133,67.125,23.777463912963867,63.452186551263964
